date	price
2015-01-05	139.5
2015-01-06	133.5
2015-01-07	134
2015-01-08	138
2015-01-09	134
2015-01-12	132
2015-01-13	132.5
2015-01-14	130
2015-01-15	131.5
2015-01-16	137
2015-01-19	139
2015-01-20	138
2015-01-21	141
2015-01-22	140
2015-01-23	145
2015-01-26	145
2015-01-27	147
2015-01-28	146.5
2015-01-29	143.5
2015-01-30	141
2015-02-02	142.5
2015-02-03	144.5
2015-02-04	146
2015-02-05	145.5
2015-02-06	143
2015-02-09	142
2015-02-10	142.5
2015-02-11	148
2015-02-12	148.5
2015-02-13	148.5
2015-02-24	151
2015-02-25	154.5
2015-02-26	150.5
2015-03-02	149
2015-03-03	150.5
2015-03-04	150.5
2015-03-05	150
2015-03-06	149
2015-03-09	145.5
2015-03-10	144
2015-03-11	146
2015-03-12	148
2015-03-13	149
2015-03-16	146
2015-03-17	149
2015-03-18	153.5
2015-03-19	154
2015-03-20	154
2015-03-23	153.5
2015-03-24	151.5
2015-03-25	151
2015-03-26	145.5
2015-03-27	142.5
2015-03-30	142.5
2015-03-31	145.5
2015-04-01	144
2015-04-02	147
2015-04-07	146
2015-04-08	143
2015-04-09	143
2015-04-10	147
2015-04-13	147
2015-04-14	144
2015-04-15	143
2015-04-16	147
2015-04-17	142.5
2015-04-20	143
2015-04-21	142.5
2015-04-22	143.5
2015-04-23	147
2015-04-24	152.5
2015-04-27	151.5
2015-04-28	151.5
2015-04-29	148.5
2015-04-30	147
2015-05-04	147.5
2015-05-05	147
2015-05-06	147.5
2015-05-07	146.5
2015-05-08	146.5
2015-05-11	148.5
2015-05-12	147.5
2015-05-13	148
2015-05-14	146
2015-05-15	146.5
2015-05-18	146.5
2015-05-19	146.5
2015-05-20	146.5
2015-05-21	145.5
2015-05-22	145.5
2015-05-25	147.5
2015-05-26	146.5
2015-05-27	145
2015-05-28	147
2015-05-29	146
2015-06-01	145
2015-06-02	144
2015-06-03	143
2015-06-04	141
2015-06-05	140
2015-06-08	138.5
2015-06-09	139
2015-06-10	139.5
2015-06-11	143.5
2015-06-12	144.5
2015-06-15	143
2015-06-16	142
2015-06-17	142.5
2015-06-18	142
2015-06-22	142
2015-06-23	144.5
2015-06-24	145
2015-06-25	146.5
2015-06-26	146
2015-06-29	138.5
2015-06-30	140.5
2015-07-01	141
2015-07-02	141.5
2015-07-03	142.5
2015-07-06	140.5
2015-07-07	140.5
2015-07-08	138
2015-07-09	136.5
2015-07-10	136.5
2015-07-13	138.5
2015-07-14	138.5
2015-07-15	138.5
2015-07-16	136.5
2015-07-17	140
2015-07-20	139
2015-07-21	140.5
2015-07-22	139
2015-07-23	136
2015-07-24	137
2015-07-27	134
2015-07-28	134
2015-07-29	135.5
2015-07-30	138.5
2015-07-31	139.5
2015-08-03	134.5
2015-08-04	136.5
2015-08-05	134
2015-08-06	134
2015-08-07	133
2015-08-10	129
2015-08-11	130.5
2015-08-12	128.5
2015-08-13	128
2015-08-14	126
2015-08-17	124
2015-08-18	126
2015-08-19	125
2015-08-20	126
2015-08-21	121
2015-08-24	115
2015-08-25	123.5
2015-08-26	122.5
2015-08-27	124
2015-08-28	125
2015-08-31	129
2015-09-01	124
2015-09-02	125.5
2015-09-03	127
2015-09-04	125
2015-09-07	122.5
2015-09-08	123
2015-09-09	129
2015-09-10	125
2015-09-11	127.5
2015-09-14	127.5
2015-09-15	126
2015-09-16	129.5
2015-09-17	131
2015-09-18	131.5
2015-09-21	129.5
2015-09-22	129
2015-09-23	124.5
2015-09-24	127
2015-09-25	127
2015-09-29	127
2015-09-30	130
2015-10-01	133.5
2015-10-02	132
2015-10-05	132.5
2015-10-06	133
2015-10-07	135
2015-10-08	136
2015-10-12	138.5
2015-10-13	137.5
2015-10-14	136.5
2015-10-15	140
2015-10-16	137.5
2015-10-19	138
2015-10-20	139
2015-10-21	138.5
2015-10-22	137.5
2015-10-23	140
2015-10-26	140
2015-10-27	139
2015-10-28	138
2015-10-29	136.5
2015-10-30	136.5
2015-11-02	137.5
2015-11-03	139.5
2015-11-04	144.5
2015-11-05	142.5
2015-11-06	140
2015-11-09	142
2015-11-10	139.5
2015-11-11	137.5
2015-11-12	138.5
2015-11-13	136
2015-11-16	135
2015-11-17	138.5
2015-11-18	137
2015-11-19	140.5
2015-11-20	141
2015-11-23	141
2015-11-24	139.5
2015-11-25	141
2015-11-26	142.5
2015-11-27	139
2015-11-30	139
2015-12-01	142.5
2015-12-02	142.5
2015-12-03	142.5
2015-12-04	140.5
2015-12-07	143.5
2015-12-08	142.5
2015-12-09	140.5
2015-12-10	141
2015-12-11	139.5
2015-12-14	139
2015-12-15	138
2015-12-16	143.5
2015-12-17	145
2015-12-18	142
2015-12-21	141.5
2015-12-22	142
2015-12-23	141.5
2015-12-24	142
2015-12-25	143
2015-12-28	143.5
2015-12-29	142
2015-12-30	142.5
2015-12-31	143
2016-01-04	139.5
2016-01-05	138
2016-01-06	135.5
2016-01-07	133
2016-01-08	134
2016-01-11	133
2016-01-12	133
2016-01-13	133.5
2016-01-14	131.5
2016-01-15	137
2016-01-18	137
2016-01-19	138
2016-01-20	134.5
2016-01-21	135
2016-01-22	138.5
2016-01-25	139.5
2016-01-26	137.5
2016-01-27	139.5
2016-01-28	140
2016-01-29	143
2016-01-30	null
2016-02-01	144
2016-02-02	142.5
2016-02-03	146
2016-02-15	145
2016-02-16	147.5
2016-02-17	148
2016-02-18	151
2016-02-19	151
2016-02-22	151
2016-02-23	149.5
2016-02-24	148
2016-02-25	150.5
2016-02-26	149
2016-03-01	152
2016-03-02	153
2016-03-03	154
2016-03-04	152.5
2016-03-07	152
2016-03-08	152
2016-03-09	153
2016-03-10	154.5
2016-03-11	155
2016-03-14	156
2016-03-15	154.5
2016-03-16	156
2016-03-17	158.5
2016-03-18	159.5
2016-03-21	160
2016-03-22	158.5
2016-03-23	159.5
2016-03-24	158.5
2016-03-25	158
2016-03-28	159
2016-03-29	159
2016-03-30	161.5
2016-03-31	162
2016-04-01	158.5
2016-04-06	153.5
2016-04-07	154.5
2016-04-08	157.5
